workload_id,policy,task_count,mean_task_latency_s,success_rate,challenge_rate,mean_verifier_workload_ms_per_task,expected_challenge_workload_ms_per_task,goodput_success_per_s,false_dispute_risk,unverifiable_placement_rate,infeasible_under_alpha_beta_rate,high_risk_placement_rate,medium_risk_placement_rate,low_risk_placement_rate,risk_adjusted_goodput,mean_completion_utility,average_group_width
single_task,random,200,1.042742,0.92,0.055,1.886295,0.295493,0.184689,0.0561,0.0,0.315,0.315,0.0,0.685,0.174328,0.90614,2.24
single_task,cost_only,200,0.971796,0.89,0.025,1.711008,0.145264,0.178667,0.027,0.0,0.3,0.3,0.0,0.7,0.173843,0.88355,1.6
single_task,reputation_aware,200,1.007899,0.94,0.06,1.837601,0.284592,0.188704,0.054,0.0,0.48,0.48,0.0,0.52,0.178514,0.9256,1.96
single_task,network_aware,200,1.007899,0.95,0.045,1.783549,0.284592,0.190712,0.054,0.0,0.48,0.48,0.0,0.52,0.180413,0.93785,1.96
single_task,risk_constrained,200,1.007899,0.945,0.005,1.704273,0.054005,0.189708,0.0096,0.0,0.0,0.0,0.0,1.0,0.187887,0.94329,1.96
single_task,adaptive_verifier,200,1.007899,0.93,0.005,1.704273,0.054005,0.186697,0.0096,0.0,0.0,0.0,0.0,1.0,0.184905,0.92829,1.96
queued_8,random,200,12.781498,0.915,0.085,1.979682,0.327945,4.741068,0.062425,0.0,0.335,0.335,0.0,0.665,4.445107,0.661256,2.24
queued_8,cost_only,200,51.636917,0.88,0.015,1.674973,0.145264,1.485707,0.027,0.0,0.3,0.3,0.0,0.7,1.445593,-0.138252,1.6
queued_8,reputation_aware,200,36.310436,0.945,0.07,1.873636,0.284592,2.160597,0.054,0.0,0.48,0.48,0.0,0.52,2.043924,0.223049,1.96
queued_8,network_aware,200,36.310436,0.945,0.055,1.819583,0.284592,2.160597,0.054,0.0,0.48,0.48,0.0,0.52,2.043924,0.225299,1.96
queued_8,risk_constrained,200,36.310436,0.945,0.025,1.780237,0.054005,2.160597,0.0096,0.0,0.0,0.0,0.0,1.0,2.139855,0.234239,1.96
queued_8,adaptive_verifier,200,36.310436,0.98,0.01,1.723264,0.054005,2.240619,0.0096,0.0,0.0,0.0,0.0,1.0,2.219109,0.271489,1.96
