pair_id,pair_label,variant,family,attack_family,attack_layer,attack_strength,prompt_count,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,detection_rate,localization_acc,output_affecting_available,output_affecting_prompt_count,output_affecting_detection_rate,output_affecting_reason,dominant_mismatch_checkpoint,runtime_ms_per_trace
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,200,16,64,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.556788
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,200,16,64,0.0,0.0,0,0,,no_logits_or_output_in_capture,,1.556788
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,200,16,64,0.76,0.76,0,0,,no_logits_or_output_in_capture,C2,1.556788
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_shard_output,material_tamper,,200,16,64,0.76,0.76,0,0,,no_logits_or_output_in_capture,C2,1.556788
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.15,200,16,64,0.52,0.52,0,0,,no_logits_or_output_in_capture,C2,1.556788
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,layer_skip,material_tamper,,200,16,64,0.83,0.83,0,0,,no_logits_or_output_in_capture,C2,1.556788
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,gaussian,statistical_tamper,0.15,200,64,256,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.494924
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,same_prompt_old_run_replay,material_tamper,,200,64,256,0.0,0.0,0,0,,no_logits_or_output_in_capture,,1.494924
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,cross_prompt_stale_substitution,material_tamper,,200,64,256,0.855,0.855,0,0,,no_logits_or_output_in_capture,C2,1.494924
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,wrong_shard_output,material_tamper,,200,64,256,0.855,0.855,0,0,,no_logits_or_output_in_capture,C2,1.494924
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,scale_perturbation,material_tamper,0.15,200,64,256,0.88,0.88,0,0,,no_logits_or_output_in_capture,C2,1.494924
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,layer_skip,material_tamper,,200,64,256,0.98,0.98,0,0,,no_logits_or_output_in_capture,C2,1.494924
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,gaussian,statistical_tamper,0.15,200,64,256,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.785521
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,same_prompt_old_run_replay,material_tamper,,200,64,256,0.0,0.0,0,0,,no_logits_or_output_in_capture,,1.785521
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,cross_prompt_stale_substitution,material_tamper,,200,64,256,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.785521
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,wrong_shard_output,material_tamper,,200,64,256,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.785521
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,scale_perturbation,material_tamper,0.15,200,64,256,0.0,0.0,0,0,,no_logits_or_output_in_capture,,1.785521
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,layer_skip,material_tamper,,200,64,256,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.785521
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,gaussian,statistical_tamper,0.15,200,128,512,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.885223
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,same_prompt_old_run_replay,material_tamper,,200,128,512,0.0,0.0,0,0,,no_logits_or_output_in_capture,,1.885223
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,cross_prompt_stale_substitution,material_tamper,,200,128,512,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.885223
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,wrong_shard_output,material_tamper,,200,128,512,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.885223
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,scale_perturbation,material_tamper,0.15,200,128,512,0.0,0.0,0,0,,no_logits_or_output_in_capture,,1.885223
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,layer_skip,material_tamper,,200,128,512,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.885223
