pair_id,pair_label,variant,family,attack_family,attack_layer,attack_strength,prompt_count,detection_rate,localization_acc,output_affecting_available,output_affecting_prompt_count,output_affecting_detection_rate,output_affecting_reason,dominant_mismatch_checkpoint,runtime_ms_per_trace
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.01,200,0.67,0.67,0,0,,no_logits_or_output_in_capture,C2,6.685902
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.02,200,0.94,0.94,0,0,,no_logits_or_output_in_capture,C2,6.643317
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.05,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,6.620771
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.1,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,6.633312
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,6.584663
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.2,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,6.62312
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.01,200,0.06,0.06,0,0,,no_logits_or_output_in_capture,C2,6.602722
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.02,200,0.1,0.1,0,0,,no_logits_or_output_in_capture,C2,6.524777
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.05,200,0.26,0.26,0,0,,no_logits_or_output_in_capture,C2,6.525612
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.1,200,0.425,0.425,0,0,,no_logits_or_output_in_capture,C2,6.536031
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.15,200,0.52,0.52,0,0,,no_logits_or_output_in_capture,C2,6.547347
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.2,200,0.69,0.69,0,0,,no_logits_or_output_in_capture,C2,6.519707
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,gaussian,statistical_tamper,0.01,200,0.795,0.795,0,0,,no_logits_or_output_in_capture,C2,6.615908
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,gaussian,statistical_tamper,0.02,200,0.99,0.99,0,0,,no_logits_or_output_in_capture,C2,6.709714
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,gaussian,statistical_tamper,0.05,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,6.641553
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,gaussian,statistical_tamper,0.1,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,6.644711
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,gaussian,statistical_tamper,0.15,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,6.662787
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,gaussian,statistical_tamper,0.2,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,6.673116
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,scale_perturbation,material_tamper,0.01,200,0.15,0.15,0,0,,no_logits_or_output_in_capture,C2,6.5912
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,scale_perturbation,material_tamper,0.02,200,0.27,0.27,0,0,,no_logits_or_output_in_capture,C2,6.648051
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,scale_perturbation,material_tamper,0.05,200,0.54,0.54,0,0,,no_logits_or_output_in_capture,C2,6.565864
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,scale_perturbation,material_tamper,0.1,200,0.805,0.805,0,0,,no_logits_or_output_in_capture,C2,6.583748
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,scale_perturbation,material_tamper,0.15,200,0.88,0.88,0,0,,no_logits_or_output_in_capture,C2,6.563159
