attack_family,attack_strength,mean_detection_rate,min_detection_rate
gaussian,0.01,1.0,1.0
gaussian,0.02,1.0,1.0
gaussian,0.05,1.0,1.0
gaussian,0.1,1.0,1.0
gaussian,0.15,1.0,1.0
gaussian,0.2,1.0,1.0
scale_perturbation,0.01,0.239167,0.0
scale_perturbation,0.02,0.941667,0.685
scale_perturbation,0.05,1.0,1.0
scale_perturbation,0.1,1.0,1.0
scale_perturbation,0.15,1.0,1.0
scale_perturbation,0.2,1.0,1.0
projection_aware_nullspace,0.01,0.0,0.0
projection_aware_nullspace,0.02,0.0,0.0
projection_aware_nullspace,0.05,0.0,0.0
projection_aware_nullspace,0.1,0.0,0.0
projection_aware_nullspace,0.15,0.0,0.0
projection_aware_nullspace,0.2,0.0,0.0
