policy,task_id,candidate_id,admitted,selected,latency_s,goodput,infeasible_usage,false_risk,verify_ms,sketch,reason,workload,alpha,seed
random,eval_001,trace_wan_a_c,1,1,1.29722,1.0,1.0,0.011,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_002,trace_wan_b_d,1,1,1.34102,1.0,1.0,0.0245,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_003,trace_wan_a_d,1,1,1.27548,1.0,1.0,0.009,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_004,trace_wan_a_c,1,1,1.29722,1.0,1.0,0.011,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_005,trace_lan_a_b,1,1,1.05661,1.0,1.0,0.015,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_006,trace_wan_b_d,1,1,1.33587,1.0,1.0,0.0245,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_007,trace_wan_a_d,1,1,1.29627,1.0,1.0,0.009,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_008,trace_wan_a_c,1,1,1.31641,1.0,1.0,0.011,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_009,trace_lan_a_b,1,1,1.07213,1.0,1.0,0.015,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_010,trace_wan_a_c,1,1,1.29722,1.0,1.0,0.011,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_011,trace_wan_a_d,1,1,1.25667,1.0,1.0,0.009,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_012,trace_lan_f_f,1,1,0.84155,1.0,0.0,0.0,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_013,trace_lan_a_b,1,1,1.03721,1.0,1.0,0.015,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_014,trace_wan_a_c,1,1,1.27803,1.0,1.0,0.011,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_015,trace_wan_a_c,1,1,1.27904,1.0,1.0,0.011,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_016,trace_wan_a_d,1,1,1.2537,1.0,1.0,0.009,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_017,trace_lan_a_b,1,1,1.05758,1.0,1.0,0.015,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_018,trace_wan_a_c,1,1,1.29722,1.0,1.0,0.011,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_019,trace_wan_a_d,1,1,1.2735,1.0,1.0,0.009,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_020,trace_wan_b_d,1,1,1.31939,1.0,1.0,0.0245,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_021,trace_lan_a_b,1,1,1.02848,1.0,1.0,0.015,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_022,trace_lan_a_b,1,1,1.03042,1.0,1.0,0.015,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_023,trace_lan_a_b,1,1,1.02848,1.0,1.0,0.015,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_024,trace_wan_a_d,1,1,1.24776,1.0,1.0,0.009,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_025,trace_wan_b_d,1,1,1.31115,1.0,1.0,0.0245,0.360349,scalar16,random_scalar16,single,0.05,20260513
random,eval_026,trace_wan_a_c,1,1,1.26591,1.0,1.0,0.011,0.360349,scalar16,random_scalar16,single,0.05,20260513
