workload,alpha,policy,n_tasks,median_latency_s,p95_latency_s,goodput,infeasible_usage,false_risk,verify_ms
queued-8,0.05,adaptive_verifier,1000,44.420615,107.99820399999994,1.0,0.0,0.0011799999999999998,0.37183866
queued-8,0.05,cost_only_scalar,1000,44.420615,107.99820399999994,1.0,0.59,0.00885,0.360349
queued-8,0.05,homogeneous_only,410,31.949625,60.21502,1.0,0.0,0.0,0.360349
queued-8,0.05,network_aware_adaptive,1000,44.420615,107.99820399999994,1.0,0.0,0.0011799999999999998,0.37183866
queued-8,0.05,network_aware_projcos4,1000,44.420615,107.99820399999994,1.0,0.0,0.0011799999999999998,0.379823
queued-8,0.05,network_aware_scalar,1000,44.420615,107.99820399999994,1.0,0.59,0.00885,0.360349
queued-8,0.05,queue_aware_adaptive,1000,24.616855,47.47654499999999,1.0,0.0,0.00198,0.37427291
queued-8,0.05,queue_aware_network,1000,19.987205000000003,38.13701699999999,1.0,0.76,0.0112325,0.360349
queued-8,0.05,queue_aware_verif_constrained,1000,24.616855,47.47654499999999,1.0,0.0,0.00198,0.379823
queued-8,0.05,random,1000,22.73823,52.36981899999999,1.0,0.906,0.013467,0.360349
queued-8,0.05,risk_weighted_scalar,1000,44.420615,107.99820399999994,1.0,0.59,0.00885,0.360349
queued-8,0.05,verif_constrained_projcos4,1000,44.420615,107.99820399999994,1.0,0.0,0.0011799999999999998,0.379823
queued-8,0.1,adaptive_verifier,1000,44.420615,107.99820399999994,1.0,0.0,0.0011799999999999998,0.37183866
queued-8,0.1,cost_only_scalar,1000,44.420615,107.99820399999994,1.0,0.59,0.00885,0.360349
queued-8,0.1,homogeneous_only,410,31.949625,60.21502,1.0,0.0,0.0,0.360349
queued-8,0.1,network_aware_adaptive,1000,44.420615,107.99820399999994,1.0,0.0,0.0011799999999999998,0.37183866
queued-8,0.1,network_aware_projcos4,1000,44.420615,107.99820399999994,1.0,0.0,0.0011799999999999998,0.379823
queued-8,0.1,network_aware_scalar,1000,44.420615,107.99820399999994,1.0,0.59,0.00885,0.360349
queued-8,0.1,queue_aware_adaptive,1000,19.988175,38.137114,1.0,0.0,0.0029325,0.37514924
queued-8,0.1,queue_aware_network,1000,19.987205000000003,38.13701699999999,1.0,0.76,0.0112325,0.360349
queued-8,0.1,queue_aware_verif_constrained,1000,19.987205000000003,38.13701699999999,1.0,0.0,0.0029325,0.379823
queued-8,0.1,random,1000,23.43971,54.86229749999999,1.0,0.923,0.013581999999999999,0.360349
queued-8,0.1,risk_weighted_scalar,1000,44.420615,107.99820399999994,1.0,0.59,0.00885,0.360349
queued-8,0.1,verif_constrained_projcos4,1000,44.420615,107.99820399999994,1.0,0.0,0.0011799999999999998,0.379823
queued-8,0.2,adaptive_verifier,1000,44.420615,107.99820399999994,1.0,0.0,0.0011799999999999998,0.37183866
queued-8,0.2,cost_only_scalar,1000,44.420615,107.99820399999994,1.0,0.59,0.00885,0.360349
queued-8,0.2,homogeneous_only,410,31.949625,60.21502,1.0,0.0,0.0,0.360349
queued-8,0.2,network_aware_adaptive,1000,44.420615,107.99820399999994,1.0,0.0,0.0011799999999999998,0.37183866
queued-8,0.2,network_aware_projcos4,1000,44.420615,107.99820399999994,1.0,0.0,0.0011799999999999998,0.379823
queued-8,0.2,network_aware_scalar,1000,44.420615,107.99820399999994,1.0,0.59,0.00885,0.360349
queued-8,0.2,queue_aware_adaptive,1000,19.988175,38.137114,1.0,0.0,0.0029325,0.37514924
queued-8,0.2,queue_aware_network,1000,19.987205000000003,38.13701699999999,1.0,0.76,0.0112325,0.360349
queued-8,0.2,queue_aware_verif_constrained,1000,19.987205000000003,38.13701699999999,1.0,0.0,0.0029325,0.379823
queued-8,0.2,random,1000,22.525875,49.71144999999999,1.0,0.9,0.013498,0.360349
queued-8,0.2,risk_weighted_scalar,1000,44.420615,107.99820399999994,1.0,0.59,0.00885,0.360349
queued-8,0.2,verif_constrained_projcos4,1000,44.420615,107.99820399999994,1.0,0.0,0.0011799999999999998,0.379823
single,0.05,adaptive_verifier,1000,1.0444849999999999,1.06631,1.0,0.0,0.0011799999999999998,0.37183866
single,0.05,cost_only_scalar,1000,1.0444849999999999,1.06631,1.0,0.59,0.00885,0.360349
single,0.05,homogeneous_only,410,0.83567,0.84155,1.0,0.0,0.0,0.360349
single,0.05,network_aware_adaptive,1000,1.0444849999999999,1.06631,1.0,0.0,0.0011799999999999998,0.37183866
single,0.05,network_aware_projcos4,1000,1.0444849999999999,1.06631,1.0,0.0,0.0011799999999999998,0.379823
single,0.05,network_aware_scalar,1000,1.0444849999999999,1.06631,1.0,0.59,0.00885,0.360349
single,0.05,queue_aware_adaptive,1000,1.0444849999999999,1.06631,1.0,0.0,0.0011799999999999998,0.37183866
single,0.05,queue_aware_network,1000,1.0444849999999999,1.06631,1.0,0.59,0.00885,0.360349
single,0.05,queue_aware_verif_constrained,1000,1.0444849999999999,1.06631,1.0,0.0,0.0011799999999999998,0.379823
single,0.05,random,1000,1.26995,1.33999,1.0,0.928,0.0139285,0.360349
single,0.05,risk_weighted_scalar,1000,1.0444849999999999,1.06631,1.0,0.59,0.00885,0.360349
single,0.05,verif_constrained_projcos4,1000,1.0444849999999999,1.06631,1.0,0.0,0.0011799999999999998,0.379823
single,0.1,adaptive_verifier,1000,1.0444849999999999,1.06631,1.0,0.0,0.0011799999999999998,0.37183866
single,0.1,cost_only_scalar,1000,1.0444849999999999,1.06631,1.0,0.59,0.00885,0.360349
single,0.1,homogeneous_only,410,0.83567,0.84155,1.0,0.0,0.0,0.360349
single,0.1,network_aware_adaptive,1000,1.0444849999999999,1.06631,1.0,0.0,0.0011799999999999998,0.37183866
single,0.1,network_aware_projcos4,1000,1.0444849999999999,1.06631,1.0,0.0,0.0011799999999999998,0.379823
single,0.1,network_aware_scalar,1000,1.0444849999999999,1.06631,1.0,0.59,0.00885,0.360349
single,0.1,queue_aware_adaptive,1000,1.0444849999999999,1.06631,1.0,0.0,0.0011799999999999998,0.37183866
single,0.1,queue_aware_network,1000,1.0444849999999999,1.06631,1.0,0.59,0.00885,0.360349
single,0.1,queue_aware_verif_constrained,1000,1.0444849999999999,1.06631,1.0,0.0,0.0011799999999999998,0.379823
single,0.1,random,1000,1.27224,1.3369,1.0,0.929,0.013648500000000001,0.360349
single,0.1,risk_weighted_scalar,1000,1.0444849999999999,1.06631,1.0,0.59,0.00885,0.360349
single,0.1,verif_constrained_projcos4,1000,1.0444849999999999,1.06631,1.0,0.0,0.0011799999999999998,0.379823
single,0.2,adaptive_verifier,1000,1.0444849999999999,1.06631,1.0,0.0,0.0011799999999999998,0.37183866
single,0.2,cost_only_scalar,1000,1.0444849999999999,1.06631,1.0,0.59,0.00885,0.360349
single,0.2,homogeneous_only,410,0.83567,0.84155,1.0,0.0,0.0,0.360349
single,0.2,network_aware_adaptive,1000,1.0444849999999999,1.06631,1.0,0.0,0.0011799999999999998,0.37183866
single,0.2,network_aware_projcos4,1000,1.0444849999999999,1.06631,1.0,0.0,0.0011799999999999998,0.379823
single,0.2,network_aware_scalar,1000,1.0444849999999999,1.06631,1.0,0.59,0.00885,0.360349
single,0.2,queue_aware_adaptive,1000,1.0444849999999999,1.06631,1.0,0.0,0.0011799999999999998,0.37183866
single,0.2,queue_aware_network,1000,1.0444849999999999,1.06631,1.0,0.59,0.00885,0.360349
single,0.2,queue_aware_verif_constrained,1000,1.0444849999999999,1.06631,1.0,0.0,0.0011799999999999998,0.379823
single,0.2,random,1000,1.27251,1.33896,1.0,0.919,0.0137075,0.360349
single,0.2,risk_weighted_scalar,1000,1.0444849999999999,1.06631,1.0,0.59,0.00885,0.360349
single,0.2,verif_constrained_projcos4,1000,1.0444849999999999,1.06631,1.0,0.0,0.0011799999999999998,0.379823
