profile_id,model,boundary,pair,device_a,backend_a,device_b,backend_b,sketch,alpha,beta,fpr,tpr,sketch_bytes,verify_ms,n_eval,n_calib,feasible,fpr_false_positives,fpr_trials,tpr_true_positives,tpr_trials,risk_class,selection_rule
profile_001,edge-llm-sharded-inference,C1-C3,pair_01,stack_a,backend_a,stack_b,backend_b,projcos16,0.1,0.9,0.12,1.0,1024,4.040801,200,200,0,24,200,200,200,medium-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
profile_002,edge-llm-sharded-inference,C1-C3,pair_01,stack_a,backend_a,stack_b,backend_b,projcos4,0.1,0.9,0.02,1.0,256,3.79823,200,200,1,4,200,200,200,low-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
profile_003,edge-llm-sharded-inference,C1-C3,pair_01,stack_a,backend_a,stack_b,backend_b,projcos8,0.1,0.9,0.08,1.0,512,3.919516,200,200,1,16,200,200,200,low-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
profile_004,edge-llm-sharded-inference,C1-C3,pair_01,stack_a,backend_a,stack_b,backend_b,scalar16,0.1,0.9,0.15,0.76,64,3.603487,200,200,0,30,200,152,200,high-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
profile_005,edge-llm-sharded-inference,C1-C3,pair_01,stack_a,backend_a,stack_b,backend_b,scalar64,0.1,0.9,0.415,0.855,256,3.468791,200,200,0,83,200,171,200,unverifiable,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
profile_006,edge-llm-sharded-inference,C1-C3,pair_02,stack_a,backend_a,stack_b,backend_b,projcos16,0.1,0.9,0.08,1.0,1024,4.040801,200,200,1,16,200,200,200,low-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
profile_007,edge-llm-sharded-inference,C1-C3,pair_02,stack_a,backend_a,stack_b,backend_b,projcos4,0.1,0.9,0.02,1.0,256,3.79823,200,200,1,4,200,200,200,low-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
profile_008,edge-llm-sharded-inference,C1-C3,pair_02,stack_a,backend_a,stack_b,backend_b,projcos8,0.1,0.9,0.035,1.0,512,3.919516,200,200,1,7,200,200,200,low-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
profile_009,edge-llm-sharded-inference,C1-C3,pair_02,stack_a,backend_a,stack_b,backend_b,scalar16,0.1,0.9,0.155,0.6,64,3.603487,200,200,0,31,200,120,200,high-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
profile_010,edge-llm-sharded-inference,C1-C3,pair_02,stack_a,backend_a,stack_b,backend_b,scalar64,0.1,0.9,0.52,0.855,256,3.468791,200,200,0,104,200,171,200,unverifiable,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
profile_011,edge-llm-sharded-inference,C1-C3,pair_03,stack_a,backend_a,stack_b,backend_b,projcos16,0.1,0.9,0.135,1.0,1024,4.040801,200,200,0,27,200,200,200,medium-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
profile_012,edge-llm-sharded-inference,C1-C3,pair_03,stack_a,backend_a,stack_b,backend_b,projcos4,0.1,0.9,0.045,1.0,256,3.79823,200,200,1,9,200,200,200,low-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
profile_013,edge-llm-sharded-inference,C1-C3,pair_03,stack_a,backend_a,stack_b,backend_b,projcos8,0.1,0.9,0.075,1.0,512,3.919516,200,200,1,15,200,200,200,low-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
profile_014,edge-llm-sharded-inference,C1-C3,pair_03,stack_a,backend_a,stack_b,backend_b,scalar16,0.1,0.9,0.11,0.585,64,3.603487,200,200,0,22,200,117,200,high-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
profile_015,edge-llm-sharded-inference,C1-C3,pair_03,stack_a,backend_a,stack_b,backend_b,scalar64,0.1,0.9,0.305,0.875,256,3.468791,200,200,0,61,200,175,200,unverifiable,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
profile_016,edge-llm-sharded-inference,C1-C3,pair_04,stack_a,backend_a,stack_b,backend_b,projcos16,0.1,0.9,0.065,1.0,1024,4.040801,200,200,1,13,200,200,200,low-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
profile_017,edge-llm-sharded-inference,C1-C3,pair_04,stack_a,backend_a,stack_b,backend_b,projcos4,0.1,0.9,0.02,1.0,256,3.79823,200,200,1,4,200,200,200,low-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
profile_018,edge-llm-sharded-inference,C1-C3,pair_04,stack_a,backend_a,stack_b,backend_b,projcos8,0.1,0.9,0.065,1.0,512,3.919516,200,200,1,13,200,200,200,low-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)"
