profile_id,model,boundary,pair,device_a,backend_a,device_b,backend_b,sketch,alpha,beta,fpr,tpr,sketch_bytes,verify_ms,n_eval,n_calib,feasible,fpr_false_positives,fpr_trials,tpr_true_positives,tpr_trials,risk_class,selection_rule,fpr_wilson95_lo,fpr_wilson95_hi,tpr_wilson95_lo,tpr_wilson95_hi
profile_001,edge-llm-sharded-inference,C1-C3,pair_01,stack_a,backend_a,stack_b,backend_b,projcos16,0.1,0.9,0.12,1.0,1024,4.040801,200,200,0,24,200,200,200,medium-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.08197935023887545,0.17234361425904846,0.9811539940816791,1.0
profile_002,edge-llm-sharded-inference,C1-C3,pair_01,stack_a,backend_a,stack_b,backend_b,projcos4,0.1,0.9,0.02,1.0,256,3.79823,200,200,1,4,200,200,200,low-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.007804300176394188,0.050287865505193874,0.9811539940816791,1.0
profile_003,edge-llm-sharded-inference,C1-C3,pair_01,stack_a,backend_a,stack_b,backend_b,projcos8,0.1,0.9,0.08,1.0,512,3.919516,200,200,1,16,200,200,200,low-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.04984015517626642,0.12599048979512317,0.9811539940816791,1.0
profile_004,edge-llm-sharded-inference,C1-C3,pair_01,stack_a,backend_a,stack_b,backend_b,scalar16,0.1,0.9,0.15,0.76,64,3.603487,200,200,0,30,200,152,200,high-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.107135265876273,0.20605693826655166,0.69626534544272,0.8139347314797533
profile_005,edge-llm-sharded-inference,C1-C3,pair_01,stack_a,backend_a,stack_b,backend_b,scalar64,0.1,0.9,0.415,0.855,256,3.468791,200,200,0,83,200,171,200,unverifiable,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.3489416917324964,0.48426212927361817,0.7995121871510563,0.8971071486469359
profile_006,edge-llm-sharded-inference,C1-C3,pair_02,stack_a,backend_a,stack_b,backend_b,projcos16,0.1,0.9,0.08,1.0,1024,4.040801,200,200,1,16,200,200,200,low-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.04984015517626642,0.12599048979512317,0.9811539940816791,1.0
profile_007,edge-llm-sharded-inference,C1-C3,pair_02,stack_a,backend_a,stack_b,backend_b,projcos4,0.1,0.9,0.02,1.0,256,3.79823,200,200,1,4,200,200,200,low-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.007804300176394188,0.050287865505193874,0.9811539940816791,1.0
profile_008,edge-llm-sharded-inference,C1-C3,pair_02,stack_a,backend_a,stack_b,backend_b,projcos8,0.1,0.9,0.035,1.0,512,3.919516,200,200,1,7,200,200,200,low-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.017055324637357105,0.07047146086668134,0.9811539940816791,1.0
profile_009,edge-llm-sharded-inference,C1-C3,pair_02,stack_a,backend_a,stack_b,backend_b,scalar16,0.1,0.9,0.155,0.6,64,3.603487,200,200,0,31,200,120,200,high-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.11139568514638545,0.211608058937256,0.5308354385001253,0.6653953603162106
profile_010,edge-llm-sharded-inference,C1-C3,pair_02,stack_a,backend_a,stack_b,backend_b,scalar64,0.1,0.9,0.52,0.855,256,3.468791,200,200,0,104,200,171,200,unverifiable,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.4510366005581654,0.5882095592051018,0.7995121871510563,0.8971071486469359
profile_011,edge-llm-sharded-inference,C1-C3,pair_03,stack_a,backend_a,stack_b,backend_b,projcos16,0.1,0.9,0.135,1.0,1024,4.040801,200,200,0,27,200,200,200,medium-risk,"prefer calib FPR<=0.10, then maximize (TPR-FPR)",0.09446507976920288,0.18929250455117141,0.9811539940816791,1.0
